Unnamed: 0,Eepi,Kepi,Kstroma,eyelid-pressure,thickness_central 1d,thickness_central 4d,thickness_midperi 1d,thickness_midperi 4d,power_eye 1d,power_eye 4d,R_n 1d,R_n 4d,error
395,0.001144983622235632,2.6196900530472745e-06,0.0009671899912212996,0.00023699878124895527,-0.005180049470508083,-0.006250063283009817,0.0010123733971634866,0.0013025802043093102,-1.7293327061580115,-1.7771056884875733,7.907951532138117,7.916813353306366,200.72463999080236
396,0.001167983645452452,1.4945498913507704e-06,0.0013390221471238145,0.0001880892994063112,-0.004290039759937796,-0.005740062084015174,0.0006223971466704434,0.0010163216985677667,-1.5334951432909492,-1.8579140818415851,7.871830350966926,7.931848494514806,226.81025257681796
397,0.001049240823153972,4.482498655117512e-06,0.0026854569822121173,0.0002122917362856137,-0.004860056871063445,-0.005580065334546996,0.0010832924024889584,0.0009756243683533769,-1.4724991883478964,-1.440818984302254,7.860647274550065,7.854851513371836,221.07548268731728
398,0.0013533182406516855,1.403215128441024e-06,0.0038327153181117366,0.0001757254020323943,-0.0038600372853844836,-0.005160054796009485,0.0004884575075286141,0.0007747125345710718,-1.3927784802398477,-1.7216819188973531,7.846078992014769,7.906534164542215,248.29101266528872
399,0.0013040579443844775,3.726151138122856e-06,0.0030047004493641,0.00014980620699745045,-0.0038100430126868784,,0.0006092616115607186,,-1.3286882393542712,,7.834406142547711,,
400,0.0011339308947093199,1.2237408031954121e-06,0.0008966229060174822,0.00019604661093248048,-0.004290032669387385,-0.0059600547395583445,0.000596127316300675,0.0011148016992879178,-1.5478917856743521,-1.9655126699709626,7.874474492792926,7.951957066600161,221.19167269160798
401,0.0011684474802827595,4.93577541653793e-06,0.0010496448618788816,0.00024520747946187157,-0.005010056950345412,-0.005580063386355284,0.0012172347615571621,0.0011673536155287143,-1.516825624351135,-1.4780756969521605,7.86877098154943,7.861668358918505,214.90067128796017
402,0.0010781426903478403,4.739756840752044e-06,0.0018469693734476226,0.00023591156766212705,-0.00502005478802324,-0.0057100620447413375,0.0012040928741808496,0.0011003735609899853,-1.4865098651078483,-1.44367093797824,7.863213198003301,7.855372916312868,213.80629746430057
403,0.0009949746139159082,3.6681077584910835e-06,0.0043729947135693606,0.00020439776656468381,-0.004940050137423269,-0.005860060178839367,0.0010163216985634785,0.0010202718320118792,-1.5483536758997118,-1.5462763177631231,7.874559354709502,7.8741777013667,214.9321916300269
404,0.000955464124623144,9.217824987455305e-07,0.0023033156062927424,0.00020328886958961856,-0.004320026344106415,-0.006340056472933384,0.0005646145827433446,0.0011961995391995411,-1.5360331840749097,-2.061421003963119,7.872296368204142,7.969967042095303,213.0059638904405
405,0.0008500493751095845,1.50637037907905e-06,0.0011136017440287118,0.00021987490100422482,-0.005040040784608381,-0.007020077462107567,0.000846923418152061,0.001629531157136939,-1.7393334708518537,-2.078075231141952,7.909805017705399,7.973102742726131,184.66323270091047
406,0.0011444887406034613,7.531696926476147e-07,0.00209391812923672,0.00023526873288789546,-0.00422002527124235,-0.0062300508765350815,0.000546239856603653,0.0011555013572414827,-1.502014913880636,-2.045984962433451,7.866054755026463,7.967062906212218,216.8254392985871
407,0.0009299793093377287,3.5920675595300567e-06,0.001514907506211892,0.00014292874173107593,-0.004580050150665878,-0.005410061648406052,0.000793087359762891,0.0009138921550022189,-1.6043409403083615,-1.6776998323214798,7.8848593180908,7.898395987992423,230.6230415469002
408,0.0014493354152354087,1.0779094590849142e-06,0.001861876244723156,0.00019639709633645,-0.0038500363591407183,-0.005340058620069275,0.00048845750752851,0.0008416828259448506,-1.3887709935536279,-1.8037082130268018,7.845348083191819,7.921756698988747,243.54768660434615
409,0.0012298288647036653,5.4144948828811034e-06,0.0011996709589740372,0.0001498097308581934,-0.0038600454607630313,,0.0006985557408921012,,-1.3255204575469222,,7.833830090515646,,
